url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.33	ducibus	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020001500,Masculine,Ablative,Plural)	urn:cite2:tabulae:ls.v1:n15002
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.34	ad	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.35	eum	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001401,Masculine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.36	expugnandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010001407,Masculine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n17132
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.36	expugnandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003107,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n17132
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.36	expugnandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003107,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n17132
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.36	expugnandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003407,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n17132
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.36	expugnandum	ValidGerundForm(urn:cite2:tabulae:morphforms.v1:000000408,Accusative)	urn:cite2:tabulae:ls.v1:n17132
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.37	iturum		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.37_0	.		urn:cite2:tabulae:ls.v1:null
