url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.34	dedit	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311110004,Third,Singular,Present,Indicative,Active)	urn:cite2:tabulae:ls.v1:n12628
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35	educandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010001407,Masculine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35	educandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003107,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35	educandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003107,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35	educandum	ValidGerundiveForm(urn:cite2:tabulae:morphforms.v1:010003407,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35	educandum	ValidGerundForm(urn:cite2:tabulae:morphforms.v1:000000408,Accusative)	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.35_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.36	et	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.37	Graece		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.38	Dionysus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.39	est	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311110004,Third,Singular,Present,Indicative,Active)	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.40	appellatus	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:014021105,Perfect,Passive,Masculine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n3134
https://lingualatina.github.io/texts/browsable/hyginus/179a/	179a.3	179a.3.40_0	.		urn:cite2:tabulae:ls.v1:null
